experiment,beta1,beta2,ema_window,omega1_mean,omega1_std,omega2_mean,omega2_std
resnet18_cifar100,0.999,0.99,10,0.2553410213604515,7.839322710015378e-05,0.004551548762393171,8.386298460889086e-07
resnet18_cifar100,0.999,0.9968,10,0.010354146370215199,6.108092384446284e-05,0.0017203290090821582,8.749494778127706e-06
resnet18_cifar100,0.999,0.999,10,0.007162603378657897,1.4650702942747253e-05,0.002058044206596639,1.1456617305750313e-05
resnet18_cifar100,0.9,0.9,100,0.24867117065332978,0.00048559667974566625,0.29395044937067905,0.0004103848199868992
resnet18_cifar100,0.9,0.968,100,0.17214193115091414,0.003611003435294681,0.07645422310501494,0.0008434373709605533
resnet18_cifar100,0.9,0.99,100,0.18572087077208646,0.0014955259895116158,0.05898287099546943,0.000494575255676382
resnet18_cifar100,0.9,0.9968,100,0.2482400135494056,0.005255090498472382,0.061137597820806876,0.0013094517385309216
resnet18_cifar100,0.9,0.999,100,0.23952549706343138,0.0076031234270664645,0.05617004771982673,0.0040051262933997476
resnet18_cifar100,0.968,0.9,100,0.0521834125971084,0.000386481354269324,0.06068121512786204,0.00033053233011520527
resnet18_cifar100,0.968,0.968,100,0.04752040557474237,0.0005472135139464381,0.03362311446906241,0.00010972959172990214
resnet18_cifar100,0.968,0.99,100,0.07515290656878158,0.0006389493767201733,0.027468233490853703,4.43400063279867e-05
resnet18_cifar100,0.968,0.9968,100,0.08131910753305087,0.0005143014155946427,0.019208196748849164,0.0001771248652074469
resnet18_cifar100,0.968,0.999,100,0.08940464288785505,0.0013389796056069959,0.01896385039187841,0.00017536436182411912
resnet18_cifar100,0.99,0.9,100,1.233450400059669,0.0005005865996573746,0.20355249494036828,9.536981254011214e-05
resnet18_cifar100,0.99,0.968,100,0.017586622556780153,0.00022615388055599264,0.005427484083038253,1.4470190693674302e-05
resnet18_cifar100,0.99,0.99,100,0.013990468653346537,0.00025309417965724084,0.004530229126020736,6.570935644914375e-05
resnet18_cifar100,0.99,0.9968,100,0.021413459094497666,0.00035594672099620767,0.004608038118853861,5.012356456925717e-05
resnet18_cifar100,0.99,0.999,100,0.023766498158401234,0.0006951241360119008,0.004499203746504216,6.645708141467661e-05
resnet18_cifar100,0.9968,0.9,100,3.1044181013028713,0.0011984220609241477,0.1885819487372226,6.744961388642574e-05
resnet18_cifar100,0.9968,0.968,100,0.6846229180726606,0.0006266536998084569,0.032551919019805614,3.705410984960543e-05
resnet18_cifar100,0.9968,0.99,100,0.00895668750041361,7.225354353641492e-05,0.000586969607428726,4.27223138474868e-06
resnet18_cifar100,0.9968,0.9968,100,0.005486246838804357,8.508474043625856e-05,0.0008855958999016625,2.4965472828202273e-06
resnet18_cifar100,0.9968,0.999,100,0.006701058557548119,0.00016070722099845622,0.0010758772879311494,1.4346150686502343e-05
resnet18_cifar100,0.999,0.9,100,1.4353446108322254,0.0040199610138743,0.06786729831323424,5.24521996107729e-05
